Data;WIG;DJIA;NASDAQ;DAX;AEX;AS30;ATGI (Grecja);ATX;BEL20;BOVESPA;BSE;BUX;CAC40;FTSE;HEX;HSI;IBEX;IPC;IPSA;XU100;JCI(indonezja);KLCI(Malezja);KOSPI;MERVAL;FTSE MIB;NIKKEI;OSEA;PSE;PX50;RTS;SET;SHBS;STI;SMISwiss;TSE300;TWSE;
2002-10-22;13752;8450,16;1292,8;3155,97;342,6;2960,7;1798,71;1060,6;2044,58;9 331,36;2965,97;7199,6;3121,01;4413,4;6042,53;9548,94;6040,8;5979,57;912,84;10137,35;353,81;654,33;639,27;433,68;17283;8689,39;121,49;1019,3;434,6;358,01;346,21;1548,1;1456,7;4882,38;6291,7;4386,46;
2002-10-23;13739,79;8494,27;1320,23;3015,42;329,32;2987,2;1773,56;1052,47;1991,06;9 840,03;2948,96;NA;2992,23;4391,8;5864,46;9804,65;5881,4;6000,62;916,41;9943,62;354,85;652,77;657,43;433,79;17008;8714,52;120,26;1012,86;432,8;357,53;NA;1548,97;1463,33;4761,34;6335,2;4589,88;
2002-10-24;13729,54;8317,34;1298,71;3090,01;336,27;2978,8;1777,27;1055,85;1992,35;9 799,16;2908,05;7133,69;3075,13;4407,4;6074,99;9787,49;6054,2;5908,07;926,63;10384,15;353,19;655,8;654,98;437,49;17383;8614,3;121,05;1027,59;431,7;348,53;346,59;1536,52;1456,9;4896,69;6336,9;4574,8;
2002-10-25;13690,12;8443,99;1331,13;3102,01;330,53;2967,4;1761,29;1049,91;1973,53;10 014,82;2875,53;7034,67;3056,88;4392,4;6011,16;9722,54;6092,5;5905,58;930,21;10411,77;353,65;655,68;655,88;444,11;17333;8726,29;120,39;1032,09;427,6;348,94;348,46;1520,31;1472,13;4939,22;6405,9;4564,06;
2002-10-28;14042,34;8368,04;1315,87;3198,96;339,37;2989,8;;1066,9;1985,57;9 573,94;2834,41;7189,5;3120,85;4432,6;6148,25;9853,74;6164,6;5887,29;936,46;10437,84;361,68;662,78;678,14;440,88;17475;8757,51;120,41;1047,05;NA;352,8;357,42;1502,72;1477,99;4901,55;6419,4;4601,37;
2002-10-29;14078,88;8368,94;1300,54;3022,01;323,04;2967,4;1773,69;1061,49;1929,56;9 600,76;2885,23;7117,67;2965,11;4366,5;5860,65;9634,67;6005,9;5893,76;932,91;NA;361,92;660,94;673,18;426,45;16924;8708,76;118,28;1045,7;429,6;349,22;353,95;1510,88;1449,93;4753,21;6294,8;4554,13;
2002-10-30;14042,52;8427,41;1326,73;3113,59;335,07;2960;1782,4;1062,45;1956,27;10 068,64;2888,59;7335,86;3084,22;4388;5954,26;9560,46;6038,1;5963,83;948,4;10138,54;361,12;657,74;658,03;430,83;17407;8756,59;118,75;1048,53;423,6;352,71;355;1509,71;1458,96;4885,97;6330,4;4498,73;
2002-10-31;14093,23;8397,03;1329,75;3152,85;342,84;2995;1785,28;1082,8;1972,23;10 167,71;2949,32;7345,41;3150,04;4417,7;6088,96;9441,25;6139,4;5967,73;958,51;10251,92;369,04;659,57;658,92;434,84;17529;8640,48;120,56;NA;430,7;358,65;357,22;1507,5;1463,37;4949,13;6248,8;4579,14;
2002-11-01;NA;8517,64;1360,7;3165,16;339,11;2966,7;1775,81;NA;1968,17;10 140,05;2950,58;NA;3109,51;4413,7;5933,78;9407,68;NA;6045,16;NA;10217,08;371,14;657,38;647,65;430,47;17366;8685,72;119,82;NA;434,9;357,45;357,68;1510,76;1427,6;4893,99;6321,4;4500,55;
2002-11-04;14195,88;8571,6;1396,54;3327,94;352,03;3009,5;1834,19;1083,47;2016,45;9 912,76;2987,97;7442,73;3218,67;4510,8;6245,35;9720,83;6366,2;6058,9;962,88;10844,43;383,87;NA;672,68;424,76;18059;NA;122,61;1050,98;435,7;358,65;358,8;1531,84;NA;5026,78;6432,6;4583,68;
2002-11-05;14039,04;8678,27;1401,17;3351,32;354,41;3007,7;1834,24;1088,02;2040,95;9 861,22;2982,39;7442,62;3247,39;4481;6270,14;9655,36;6369,1;6040,17;970,96;11947,28;374,91;653,94;664,9;427,23;18135;8937,56;121,89;1042,31;435,4;351,86;355,77;1558,24;1434,04;5039,1;6399,6;4566,1;
2002-11-06;13839,16;8771,01;1418,99;3298,84;349,32;3036;1848,56;1094,74;2031,71;9 702,76;NA;7430,18;3212,86;4516,7;6143,81;9773,98;6319,1;6064;973,18;11973,38;369,4;658,65;682,56;;17978;8953,29;122,34;1060,44;434,9;347,92;353,8;1552,56;1447,74;5011,62;6437,9;4725,34;
2002-11-07;13765,82;8586,24;1376,71;3155,66;336,22;3001,9;1829,1;1098,07;2015,14;9 799,30;2975,26;7413,7;3111,72;4516,6;6036,71;9844,38;6115,6;6009,93;956,02;13472,17;369,38;655,76;681,27;443,02;17525;8920,44;121,73;1083,6;438,1;NA;357,46;1554,24;1426,36;4899,21;6384,4;4757,98;
2002-11-08;13792,99;8537,13;1359,28;3079,1;330,23;2972,6;1836,32;1092,14;1994,09;9 860,29;2956,84;7452,65;3058,18;4490,7;5952,36;9770,68;6074,2;5988,53;949,81;13221,79;365,7;656,68;674,85;439,64;17373;8690,77;119,65;1074,12;438,2;NA;355;1522,19;1425,91;4845,39;6390;4811,01;
2002-11-11;NA;8358,95;1319,19;3042,06;328,11;2937,4;1832,13;1089,08;1983,95;9 885,65;2948,04;7450,87;3053,7;4445,7;5800,78;9580,88;6060;5891,79;941,98;12773,73;362,57;653,17;657,78;437,51;17152;8460,37;119,28;1063,31;439,1;346,52;350,36;1504,4;1404,39;4791,92;6293,9;4664,65;
2002-11-12;13834,89;8386;1349,56;3115,88;328,31;2942,9;1828,23;1092,54;1979,12;9 720,55;2961,24;7423,64;3064,64;4462,6;5915,23;9613,84;6141,9;5865,11;942,03;12097,53;371,09;651,7;654,43;455,91;17416;8464,77;119,58;1055,29;440,4;353,38;345,07;1485,91;1405,99;4855,34;6329,7;4676,47;
2002-11-13;13824,61;8398,49;1361,33;3066,42;326,17;2932,2;1800,98;1098,28;1962,94;9 763,65;2960,66;7475,15;3034,81;4428,5;6004,29;9616,62;6133,5;5813,36;948,44;12417,13;367,1;646,94;653,85;456,92;17363;8438,52;120,44;1059,45;440,2;352,69;343,67;1490,46;1394,75;4832,29;6301,8;4671,77;
2002-11-14;13945,96;8542,13;1411,52;3188,39;335,66;2922,2;1809,94;1096,56;2018,67;9 884,27;2986,56;7661,08;3148,6;4426,1;6245,99;9740,84;6271,7;5898,06;966,31;12971,09;371,25;646,15;652,15;442,07;17794;8303,39;120,48;1061,86;447;348,85;348,95;1460,8;1391,16;4949,39;6370,9;4665,56;
2002-11-15;13841,69;8579,09;1411,14;3191,76;338,17;2964,7;1830,54;1093,53;2037,86;;3033,91;7601,17;3162,39;4449,3;6249,9;9865,65;6250,8;5819,09;974,4;13597,57;374,15;647,88;672,95;452,08;17774;8503,59;120,65;1058,71;449,9;350,28;356,24;1463,69;1414,85;5027,58;6457,4;4813,53;
2002-11-18;13920,09;8486,57;1393,69;3218,36;343,24;2960,8;1817,67;1090,81;2057,17;;3057,16;7718,5;3208,47;4503,9;6379,74;9920,09;6356,3;5726;973,28;14058,4;367,88;643,91;667,13;459,14;18029;8346,01;121,15;1034,48;448,8;353,4;357,1;1451,29;1397,2;5033,93;6485;4790,61;
2002-11-19;13990,84;8474,78;1374,51;3206,93;340,82;2951,4;1816,2;1090,53;2055,75;;NA;7606,3;3177,23;4464,8;6228,99;9965,03;6299,3;5641,74;965,97;13387,93;369,11;637,43;671,44;454,29;18004;8365,26;119,99;1024,99;444,3;351,27;353,62;1462,17;1393,77;5000,22;6423,6;4726,5;
2002-11-20;14045,2;8623,01;1419,35;3212,99;339,35;2969;1821,16;1102,33;2064,25;;3075,48;7618,73;3153,5;4444,4;6294,36;9971,15;6264,3;NA;961,15;13292,01;371,59;637,17;682;460,07;18057;8459,62;118,85;1034,2;448,4;351,41;352,18;1425,84;1383,31;5034,34;6493,1;4653,5;
2002-11-21;14454,26;8845,15;1467,55;3304,63;356,34;2984,8;1860,49;1097,16;2114,41;;3101,36;7831,71;3290,8;4506;6585,67;10003,5;6498,9;5859,05;965,95;13811,14;373,23;638,21;690,38;487,09;18498;8668,06;120,96;1030,84;454,6;356,67;358,44;1390,63;1398,9;5134,3;6567,8;4579,45;
2002-11-22;14516,03;8804,84;1468,74;3320,88;357,56;2999,4;1858,9;1097,96;2099,61;10 404,12;3141,61;7931,46;3305,78;4525,6;6573,25;10065,3;6539,2;5818,43;966,62;13501,38;381,46;639,12;692,87;486,51;18515;8772,56;121,24;1054,8;458,7;353,24;362,59;1395,5;1423,61;5160,82;6553,9;4707,61;
2002-11-25;14881,26;8849,4;1481,9;3299,24;358,59;3004,9;1872,77;1102,31;2101,24;10 245,50;3175,56;8019,81;3295,68;4497;6685,06;10100,8;6580,7;5861,82;954,07;13052,91;381,89;643,31;705,86;498,53;18566;8944,44;121,41;1056,41;460,3;357,21;364,53;1398,44;1423,52;5151,56;6578,2;4723,16;
2002-11-26;14739,48;8676,42;1444,43;3191,63;347,64;2979,3;1866,78;1103,16;2055,94;10 131,69;3187,76;8002,68;3215,19;4453,2;6528,98;9995,52;6471,5;5922,41;944,54;12824,29;381,95;640,68;702,27;502,14;18333;8823,99;119,95;1050,85;454,9;355,62;361,21;1371,17;1405,27;5091,98;6477,8;4677,89;
2002-11-27;14850,58;8931,68;1487,94;3346,14;357,4;2968,2;1869,22;1103,93;2096,79;10 226,44;3174,11;8022,85;3313,76;4489,6;6735,71;9944,59;6700,1;6129,25;950,05;13036,91;383,04;632,42;708,07;509,64;18873;8875,88;122,47;1036,27;465,6;356,2;361,35;1378,75;1394,94;5181,85;6604,3;4633,03;
2002-11-28;14834,07;NA;NA;3360,76;360,1;3007,2;1880,31;1101,06;2080,88;10 239,18;3220,75;7991,32;3329,99;4573,5;6871,64;10147,8;6704,1;6158,49;954,4;12923,75;389,98;630,86;714,54;491,99;19036;9176,78;124,33;1042,66;463,9;358,48;364,29;1417,53;1404,04;5149,95;6629,4;4612,6;
2002-11-29;14662,91;8896,09;1478,78;3320,32;361,99;3025,2;1872,83;1091,96;2074,39;10 508,81;3228,82;7944,86;3326,65;4558,2;6805,05;10069,9;6685,6;6156,83;960,31;13300,4;390,43;629,22;724,8;497,79;19042;9215,56;125,89;1047,22;464,2;361,15;364,9;1434,18;1391,53;5117,51;6570,4;4646,69;
2002-12-02;15026,12;8862,57;1484,76;3380,2;361,16;3047,6;1892,78;1111,03;2074,96;10 673,79;3270,36;8119,44;3298,76;4574;6942,09;10205,2;6736,3;6223,59;959,13;13364,17;389,27;624,26;730,16;513,53;19024;9174,47;127,85;1050,04;466,8;361,01;366,67;1395,68;1396,81;5150,47;6665,3;4683,18;
2002-12-03;15028,7;8742,93;1448,96;3280,49;349,23;3037,2;1867,59;1106,87;2035,61;10 662,83;3230,14;8052,71;3222,26;4522,7;6563,12;10227;6582,4;6221,68;958;13226,38;397,74;616,46;736,57;517,83;18559;9205,11;124,82;1042,54;455,3;352,24;364,19;1408,84;1381,87;5004,03;6640,6;4793,93;
2002-12-04;14838,08;8737,85;1430,35;3320,75;343,28;2993,4;1859,24;1122,95;2004,66;10 640,11;3207,36;8020,14;3199,84;4479,9;6607,74;9995,73;6512,8;6187,67;954,44;13287,29;397,08;618,37;714,5;515,07;18585;9006,73;125,74;1036,26;449,8;346,14;364,94;1414,45;1366;5010,38;6610,4;4727,49;
2002-12-05;14909,65;8623,28;1410,75;3224,74;339,33;3004;1844,75;1126,92;1976,58;;3229,73;7983,79;3158,04;4469,3;6562,22;10009,9;6425,3;6152,01;959,63;NA;NA;NA;722,76;517,21;18223;8917,57;124,67;1031,75;459,1;347,85;NA;1404,88;1365,54;4950,74;6542;4755,4;
2002-12-06;14724,22;8645,77;1422,44;3207,53;338,47;2990,7;1813,32;1123,51;2001,39;10 569,02;3306,29;7842,46;3185,77;4445,8;NA;9973,75;NA;6126,23;971,09;NA;NA;NA;718,09;517,03;18112;8863,26;120,46;NA;451,2;349,52;365,09;1405,53;NA;4934,84;6577,2;4738,98;
2002-12-09;14726,38;8473,41;1367,14;3065,57;330,09;2987,9;1803,18;1115,12;1953,43;10 338,75;3269,31;7881,59;3115,63;4419,3;6405,47;9868,48;6291;6053,75;962,36;12703,78;NA;637,77;709,11;504,38;17718;8828,05;121,4;1027,53;459,5;350,89;365,35;1400,87;1347,92;4863;6504,1;4823,67;
2002-12-10;14507;8574,26;1390,76;3167,99;331,05;2955,7;1815,52;1125,18;1979,86;10 331,33;3289,68;7921,66;3142,75;4396,4;6244,01;9857,99;6332,1;6081,52;960,59;13047,76;NA;633,38;702,44;506,05;17946;8804,52;121,54;1013,31;462,6;348,97;NA;1383,84;1367,1;4909,26;6597,2;4755,01;
2002-12-11;14408,77;8589,14;1396,59;3196,05;335,72;2939,5;1831,63;1130,2;2008,78;10 598,10;3303,27;7726,78;3190,09;4399,6;6191,91;9784,57;6371,5;6135,39;966,04;12717,28;391,74;635,17;698,61;490,02;18085;8727,66;120,79;1013,58;464,9;342,55;365,46;1379,2;1374,38;4905,8;6587,3;4699,41;
2002-12-12;14531,49;8538,4;1399,55;3111,88;330,09;2955,7;1828,09;1130,44;1988,87;10 586,92;3324,48;7807,46;3137,43;4326,7;6198,48;9813,78;6251,6;NA;964,64;13146,83;393,86;634,28;715,38;485,55;17892;8708,69;120,32;1025,51;465,7;NA;360,99;1383,91;1381,73;4880,03;6637,1;4669,7;
2002-12-13;14534,66;8433,71;1362,42;3077,06;322,75;2941,2;1820,41;1132,42;1960,91;10 564,35;3342,97;7912,23;3076,85;4296,5;6085,5;9728,43;6120,6;6114,2;965,34;13047,43;391,22;632,2;708,13;469,69;17664;8516,07;119,91;1030,18;465,2;NA;356,2;1396,9;1367,48;4847,72;6664,3;4588,14;
2002-12-16;14564,42;8627,4;1400,33;3205,29;335,51;2921,9;1817,35;1132,94;2003,54;10 771,08;3328,39;8074,49;3173,85;4321,4;6216,99;9656,46;6311,4;6185,95;967,81;12392,48;395,3;629,47;692,42;489,51;18131;8450,94;119,26;1019,98;464,1;339,56;353,93;1408,52;1360,83;4940,08;6724,4;4582,05;
2002-12-17;14523,89;8535,39;1392,05;3139,97;330,39;2957,3;1825,89;1132,54;2004,05;10 832,56;3311,06;8086,58;3138,61;4280;6163,03;9715,74;6266,6;6168,46;974,56;11511,01;402,39;635,63;704,49;480,94;18003;8510,73;119,51;1015,39;452,6;347,33;352,83;1416,1;1343,01;4902,3;6621,5;4545,62;
2002-12-18;14164,05;8447,35;1361,51;3022,69;323,55;2957;1823,21;1132,83;1975,52;10 984,50;3333,31;7887,73;3077,39;4251,8;5987,73;9548,65;6155,8;6089,66;994,8;11568,87;406,39;635,81;709,22;487,56;17640;8344,01;120,9;1018,4;449,3;346,45;350,62;1411,72;1334,66;4804,58;6560,9;4535,93;
2002-12-19;14135,77;8364,8;1354,1;2961,41;320,72;2959,2;1800,46;1130,72;1957,27;11 207,50;3333,86;7794,99;3054,21;4260,7;5941,03;9557,86;6168,3;6120,46;1006,26;11125,28;420,33;636,79;NA;496,09;17456;8387,57;121,26;997,78;453,4;350,87;350,25;1413,6;1354,63;4781,58;6537;4549,23;
2002-12-20;14116,67;8512,01;1363,11;3024,22;325,24;2978,8;1791,7;1156,3;1974,94;11 489,99;3337,22;7777,4;3082,85;4270,5;5897,28;9628,69;6208;6130,83;1004,85;11286,45;425,12;638,03;709,44;503,9;17761;8406,88;121,75;1000,78;452,5;352,72;350,01;1427,94;1337,45;4774,61;6560,6;4595,67;
2002-12-23;14294,29;8493,29;1381,69;3000,84;329,72;2999,1;1767,88;1158,78;2007,88;11 470,15;3329,61;7885,39;3087,62;4288,1;5910,33;9570,93;6240,2;6153,22;1007,28;10702,46;425,61;639,2;691,38;520,82;17752;NA;120,41;1008,84;452,9;354,22;350,55;1430,2;1335,09;4731,26;6628,3;4572,77;
2002-12-24;NA;8448,11;1372,47;NA;327,36;2998,8;1765,16;NA;2017,16;;3352,77;NA;3081,28;4293,4;NA;9561,63;NA;6151,48;996,08;10447,46;NA;641,16;677,82;523,44;;8512,37;NA;NA;NA;352,59;350,93;1430,83;1337,19;NA;6609,1;4544,5;
2002-12-26;NA;8432,61;1367,89;NA;;NA;;NA;NA;11 318,08;3382,64;NA;NA;NA;NA;;NA;6182,91;996,92;10396,74;NA;648,07;671,89;519,07;;8700,1;NA;1015,33;NA;354,82;355,36;1384,15;1331,45;NA;NA;4567,37;
2002-12-27;14402,55;8303,78;1348,31;2840;317,86;2991,4;1762,69;1142,21;1970,28;11 234,49;3398;7858,52;3011,83;4277,5;5717,8;9445,26;6081,3;6126,24;998,14;10463,95;424,95;650,39;656,92;517,93;17404;8714,05;120,8;1018,41;453,2;359,17;356,48;1382,97;1341,58;4573,9;6595,8;4547,32;
2002-12-30;14390,28;8332,85;1339,54;2892,63;320,29;2960,5;1748,41;1150,05;1986,66;11 268,47;3374,97;7738,63;3025,14;4302,2;5775,37;9272,33;6036,9;6124,51;1000;10288,12;NA;648,43;627,55;525,09;17485;8578,95;120,33;NA;460,7;358,96;NA;1366,36;1331,95;4630,75;6617,5;4457,75;
2002-12-31;14366,65;8341,63;1335,51;NA;322,73;2975,5;1748,42;NA;2025,04;;3377,28;7798,29;3063,91;4319,3;NA;9321,29;NA;6127,09;NA;10369,92;NA;646,32;NA;524,95;;NA;NA;NA;NA;359,07;NA;1357,65;1341,03;NA;6614,5;4452,45;
2003-01-02;14378,11;8607,52;1384,85;3105,04;337,26;2996,2;1777,09;1148,71;2074,14;11 602,98;3365,06;7914,35;3195,02;4343,4;6052,81;9365,52;6284;6225,4;999,84;10598,58;409,13;632,43;635,17;520,55;18069;NA;121,94;1008,64;465;NA;351,52;1320,63;1335,98;NA;6740;4524,87;
2003-01-03;14770,53;8601,69;1387,08;3092,94;335,34;3025,7;1776,16;1151,75;2040,33;11 600,23;3357,54;7968,26;3187,88;4377,1;6082,94;9583,85;6237,3;6253,34;1008,46;10837,53;407,51;633,5;661,1;530,64;18147;NA;123,65;1011,5;467,9;NA;357,23;1319,87;1339,93;4899,53;6772,7;4626,32;
2003-01-06;14814,32;8773,57;1421,32;3157,25;336,23;3044,8;;NA;2043,91;12 019,70;3334,89;7905,53;3210,27;4358,2;NA;9665,96;NA;6333,46;1020,19;10357,34;398,25;627,89;666,71;554,43;18323;8713,33;123,18;1015,07;468,9;NA;364,15;1334,68;1331,62;4916,21;6837,3;4689,86;
2003-01-07;14875,42;8740,59;1431,57;3112,77;334,89;3043,2;1769,18;1154,18;2029,28;11 876,09;3330,5;7909,45;3160,99;4353,1;6001,21;9652,4;6349,3;6279,28;1014,98;9752,86;394,52;626,17;652,2;559,65;18102;8656,5;122,81;1019,59;469,6;NA;365,51;1332,06;1318,74;4886,96;6802,8;4701,08;
2003-01-08;14738,01;8595,31;1401,07;2993;328,73;3042,4;1726,33;1148,3;1984,72;11 794,37;3357,87;7809,25;3094,09;4329,3;5797,95;9688,21;6377,2;6266,48;1005,77;10161,21;389,41;625,13;651,72;569,9;17931;8517,8;120,55;1040,42;464,2;354,77;360,41;1372,07;1332,32;4882,28;6723,1;4836,93;
2003-01-09;14735,78;8776,18;1438,46;3037,68;333,15;3035,6;1721,94;1161,08;2003,35;11 911,72;3384,2;7740,1;3152,29;4343,9;5943,23;9675,41;6433;6329,96;1021,23;10225,82;396,03;626,58;630,4;591,09;18125;8497,93;120,49;1035,31;463,3;358,36;358,76;1397,38;1335,09;4857,92;6772,2;4813,73;
2003-01-10;14785,91;8784,89;1447,72;3037,33;333,13;3035;1703,79;1150,09;1984,5;12 242,92;3358,99;7802,22;3160,13;4380,3;5957,3;9721,5;6438,9;6353,03;1030,2;10204,05;399,67;635,82;628,36;575,8;18083;8470,45;121,32;1058,3;465,1;357,94;360,37;1384,86;1347,17;4854,19;6801,8;4850,8;
2003-01-13;15115,13;8785,98;1446,04;3060,65;335,2;3042,5;1703,5;1156,49;2007,44;12 110,27;3327,16;7905,56;3169,82;4383,8;5951,01;9834,08;6534,7;6364,64;1030,85;10412,73;396,23;651,48;648,06;581,86;18155;NA;122,49;1055,05;471,3;360,45;364,05;1386,31;1386,05;4887,75;6809,9;4991,26;
2003-01-14;15039,44;8842,62;1460,99;3098,72;335,15;3049;1715,91;1170,66;2009,76;12 174,66;3335,35;7868,54;3174,03;4376,4;6030,44;9796,31;6589,2;6407;1035,68;10124,88;407,18;661,41;650,05;591,1;18176;8553,06;122,14;1061,33;476,6;359,28;373,33;1466,85;1401,37;4965,3;6811;4992,42;
2003-01-15;15061,77;8723,18;1438,8;3049,4;330,73;3049,6;1720,79;1173,37;2011,28;11 971,31;3357,69;7842,54;3134,66;4339,9;5936,61;9873,49;6566,8;6398,9;1028,47;10280,69;405,6;668,21;648,29;586,95;18030;8611,75;122,46;1075,47;483,1;360,88;371,82;1459,92;1386,62;4859,97;6801,4;5017,7;
2003-01-16;14827,53;8697,87;1423,75;3054,11;329,99;3030,3;1726,76;1181,45;1990,58;11 951,93;3373,52;7878,65;3142,59;4349,5;5826,6;9743,23;6610,6;6331,99;1018,85;10467,87;397,11;670,14;648,69;596,58;18074;8609,17;122,97;1074,45;483,4;361,49;370,48;1485,62;1379,52;4829,21;6827;4943,29;
2003-01-17;14637,51;8586,74;1376,19;2918,82;318,59;3024,7;1689,59;1163,36;1959,52;11 675,70;3370,39;7897,76;3056,93;4321,7;5689,25;9614,59;6458,2;6204,46;1012,91;10348,33;401,65;670,53;636,46;577,2;17538;8690,25;121,78;1081,6;474,9;356,4;367,16;1478,68;1366,83;4753,61;6755,9;4907,78;
2003-01-20;14594,74;NA;NA;2893,55;313,04;3028,2;1667,67;1156,49;1944,77;11 648,38;3341,89;7791,43;3020,07;4312,5;5663,41;9552,02;6390,8;6161,12;1017,96;10590,28;404,42;666,36;634,5;575,74;17339;8558,82;122,4;1066,7;473,3;356,08;371,45;1482,68;1363,19;4679,69;6740,4;4951,03;
2003-01-21;14461,75;8442,9;1364,25;2870,57;307,69;3024,1;1672,14;1161,02;1925,87;11 434,71;3354,14;7876,75;2992,39;4308,4;5656,23;9568,47;6346,3;6092,13;1006,29;10570,4;405,16;675,87;632,86;562,75;17103;8708,58;121,96;1060,07;473,8;343,89;375,91;1454,89;1365,32;4650,57;6740,4;4945,87;
2003-01-22;14301,16;8318,73;1359,48;2803,25;300,79;2999,1;1669,69;1154,51;1885,68;11 142,48;3357,04;7735,47;2931,38;4269,9;5668,75;9560,29;6249,7;6024,09;1004,04;10544,69;405,7;672,41;622,49;568,71;16894;8611,04;120,05;1052,44;469;342,89;373,17;1460,53;1369,13;4520,17;6721,3;4993,27;
2003-01-23;14453,54;8369,47;1388,27;2811,22;297,89;2997,8;1697,06;1167,08;1880,8;11 162,14;3328,18;7779,24;2917,97;4246,7;5517,44;9584,7;6310,2;6054,44;1003,89;10881,88;406,77;670,78;625,18;568,15;16810;8790,92;119,67;1048,53;468,4;341,4;376,56;1450,62;1364,41;4528,26;6737,4;5078,8;
2003-01-24;14133,8;8131,01;1342,14;2717,82;295,84;3000,1;1720,99;1187,79;1873,07;10 783,65;3287,86;7674;2898,6;NA;5502,14;9460,6;6268,9;6012,56;994;10825,87;405,34;668,81;609,43;557,81;16638;8731,65;118,85;1050,42;469,9;343,31;376,3;1479,07;1358,04;4477,43;6664,9;5057,32;
2003-01-27;13867,32;7989,56;1325,27;2643,8;284,33;NA;1692,2;1170,89;1825,44;10 529,77;3247,71;7583,12;2795,78;4100,1;5340,05;9298,67;6022,4;5923,33;982,17;10931,12;393,56;664,62;593,09;548,19;16375;8609,47;115,29;1038,67;467,7;336,08;370,8;1496,16;1331,25;4314,54;6556,5;4972,59;
2003-01-28;13886,61;8088,84;1342,18;2671,36;284,85;2940,5;1669,97;1173,73;1827,65;10 516,84;3267,84;7562,88;2800,07;4055,8;5271,87;9325,6;5955,4;5919,7;988,65;10742,9;395,21;671,63;600,56;556,46;16347;8525,39;114,21;1035,57;469,5;342,72;374,76;1500,64;1339,69;4303,54;6570,1;5015,16;
2003-01-29;13923,86;8110,71;1358,06;2706,57;282,72;2929,9;1665,66;1160,15;1809,62;10 863,31;3238,02;7482,49;2840,05;3986;5322,36;9240,79;5941;5937,97;984,43;10725,66;391,53;665,44;583,35;557,43;16462;8331,08;112,8;1039,26;465,6;346,58;369,69;1499,82;1302,85;4332,19;6573,2;NA;
2003-01-30;13783,66;7945,13;1322,35;2693,78;292,94;2943;1671,13;1147,62;1835,65;10 750,79;3219,88;7524,31;2914,13;4021,6;5386,95;9258,95;6019,6;5870,51;989,55;10945,73;392,29;664,77;591,86;547,01;16728;8316,81;114,3;1039,88;468,8;347,74;370,3;NA;1295,89;4408,98;6546,3;NA;
2003-01-31;13844,75;8053,81;1320,91;2747,83;294,94;2935,4;1683,59;1153,99;1882,53;10 941,09;3250,38;7485,8;2937,88;4016,4;5210,25;;5947,7;5954,35;1001,99;11032,03;388,44;NA;NA;549,85;16801;8339,94;114,57;1056,69;465,3;345,56;370,01;NA;1291,44;4422,51;6569,5;NA;
2003-02-03;14125,43;8109,82;1323,79;2751,99;298,99;2920,5;1677,52;1161,73;1880;10 910,01;3279,83;7561,75;2957,79;4071,8;5345,7;;6017,2;6031,81;1003,84;11122,03;390,22;NA;600,41;549,7;16952;8500,79;114,15;1058,14;472,9;347,06;372,4;NA;NA;4471,91;6593,7;NA;
2003-02-04;13871,99;8013,29;1306,15;2632,98;285,54;2926,1;1667,19;1159,69;1838,43;10 577,17;3278,13;7467;2863,5;NA;5225,83;9252,71;5872,9;5968,46;1004,77;10658,31;394,15;NA;603,78;569,78;16514;8484,9;112,97;1049,67;470,9;346,69;373,37;NA;1296,59;4354,28;6544,9;NA;
2003-02-05;13877,99;7985,18;1301,5;2725,88;290,87;2898,3;1657,43;1165,17;1846,43;10 591,81;3256,08;7432,72;2884,62;4071,6;5230,76;9180,47;6002,6;NA;1013,35;10659,85;392,31;668,18;600,68;562,23;16750;8549,85;113,16;1037,26;475,4;346,79;373,28;NA;1291,89;4385,02;6521;NA;
2003-02-06;13694,82;7929,3;1301,73;2649;284,35;2868,2;1653,05;1175,76;1810,71;10 565,83;3305,44;7343,83;2836,18;4057,4;5152,71;9126,15;5885,6;5894,27;1010,52;10921,78;394,46;664,95;589,5;559,05;16563;8484,19;111,88;1036,56;471,6;345,23;379,1;NA;1287,63;4257,26;6489,3;4833,58;
2003-02-07;13797,26;7864,23;1282,47;2569,34;279,22;2886,1;1674,2;1172,57;1781,3;10 380,59;3279,77;7439,81;2796,66;4062;5140,91;9150,95;5809,3;5866,03;1015,24;11013,83;394,63;661,25;577,48;564,89;16567;8448,16;112,6;1041,83;476,6;353,46;378,95;NA;1285,41;4222,85;6477,7;4735,37;
2003-02-10;13871,4;7920,11;1296,68;2586,09;274,8;2870,2;1672,58;1160,14;1755,12;10 479,61;3256,86;7459,78;2772,26;4067,9;5124,55;9232,14;5787,6;5837,89;1013,89;NA;397,22;658,46;577,25;571,49;16451;8484,93;111,13;1038,89;476,3;361,08;375,48;1480,17;1282,73;4155,03;6444,1;4643,87;
2003-02-11;13918,78;7843,11;1295,46;2627;284,44;2860;1688,76;1149,79;1801,42;10 509,42;3261,47;7490,8;2841,84;4089;5302,95;9194,91;5923,3;5779,45;1015,24;NA;395,56;659,95;575,98;573,91;16842;NA;112,35;1044,77;477,9;370,71;379,14;1492,76;1295,97;4254,39;6474;4618,98;
2003-02-12;13806,1;7758,17;1278,97;2571,25;275,4;2867,1;1677,32;1135,51;1765,34;10 509,87;3247,51;7478,44;2770,62;4042,7;5207,99;9314,9;5840,2;5763,87;1017,42;NA;NA;NA;583,29;582,04;16694;8664,17;111,87;1041,37;475,9;369,43;380,26;1510,67;NA;4152,22;6452,5;4624,87;
